feature,importance
rolling_range_width_pct_50,0.06196368849947506
keltner_width_pct_20,0.052614796402072374
rolling_volatility_20,0.04910709462759874
atr_pct_20,0.04593483305742024
sma_50_vs_sma_200,0.04281673811082058
atr_pct_14,0.03604980762302162
sma_20_vs_sma_50,0.03417804235086681
vpt_change_vs_avg_volume_20,0.032964588148321
rolling_volatility_14,0.03264135565374126
adx_14,0.03143881607597428
close_vs_sma_200,0.028347507374652126
close_vs_ema_200,0.024392668910416356
rolling_range_width_pct_20,0.02171183029251757
plus_di_14,0.020506377927035434
bollinger_width_20,0.01950151035497
minus_di_14,0.018822188100249285
donchian_width_pct_20,0.018581798799064513
close_vs_rolling_low_50,0.018342247753761594
obv_change_vs_avg_volume_20,0.017230075730004634
sma_50_slope_5,0.0166833486582256
macd_signal_pct,0.016620628539062085
ema_50_slope_5,0.015786261493927693
macd_line_pct,0.014774340735772388
cmf_20,0.014269776251614156
close_vs_rolling_high_50,0.014227110743203302
ema_12_vs_ema_26,0.013902183116365142
mfi_14_scaled,0.013563342076173249
close_vs_sma_50,0.013249509191010134
di_spread_pct_14,0.013171189068192882
di_spread_14,0.01261604800503915
adl_change_vs_avg_volume_20,0.012192995819055556
close_vs_ema_50,0.012116575757400423
macd_histogram_pct,0.01159646198018244
sma_20_slope_5,0.011090602221081726
close_position_in_rolling_range_50,0.010595446129119428
close_vs_rolling_low_20,0.009180001448760557
return_20d,0.008978326023020702
close_position_in_keltner_20,0.007360417050874598
close_vs_rolling_high_20,0.007222251193383918
return_5d,0.007143477895353923
ema_20_slope_5,0.006456942538434021
rsi_14_scaled,0.006337762749887769
close_position_in_rolling_range_20,0.00598905242661043
stochastic_k_14,0.00595492112626005
close_vs_bollinger_middle_20,0.005943397910281599
volume_ratio_20,0.005845035202257901
close_vs_sma_20,0.005811192463232454
close_vs_ema_20,0.005615650501356912
williams_r_14,0.005470721955556331
bollinger_percent_b_20,0.005404046881974169
stochastic_d_14_3,0.005161026706233668
momentum_pct_14,0.005139019615639293
close_vs_vwap_20,0.005102522773033599
candle_range_pct,0.00508404471977538
close_position_in_donchian_20,0.004970746044052548
cci_14,0.004803452701561848
close_vs_pivot_resistance_2,0.004442184999812659
true_range_pct,0.004079685204301654
roc_14,0.004060636682532478
lower_wick_pct,0.0034085687105149284
pivot_range_pct,0.0033417436075351414
close_vs_pivot_resistance_1,0.0025022903984351663
candle_body_abs_pct,0.0024900834576995104
upper_wick_pct,0.0023629588824838066
candle_body_pct,0.002299922162355365
gap_pct,0.0022844223664177693
close_vs_pivot_point,0.0022399393437266615
lower_wick_pct_of_range,0.00196586090972997
close_vs_pivot_support_1,0.0018531420154556837
body_pct_of_range,0.0018007496455087124
log_return_1d,0.0017792482209315523
close_vs_pivot_support_2,0.001743966124712565
upper_wick_pct_of_range,0.0016874765634906992
return_1d,0.0014942122064673276
macd_above_signal,0.0005267696929182927
plus_di_above_minus_di_14,0.000322267600640223
close_above_pivot_resistance_1,0.00016012126450235263
close_above_pivot_point,0.00012500395510781377
candle_direction,0.00010234546169943011
close_breakout_above_rolling_high_20,8.613369804089029e-05
long_body_20,6.451610327303126e-05
shooting_star,3.863706659894927e-05
outside_bar,3.803424962937581e-05
hammer,3.720501594268117e-05
gap_down,2.5560000988744723e-05
long_upper_wick,2.377009109379767e-05
gap_up,2.0400099141515677e-05
close_below_pivot_support_1,1.634869336082602e-05
close_breakdown_below_rolling_low_20,0.0
close_above_bollinger_upper_20,0.0
close_below_bollinger_lower_20,0.0
doji,0.0
engulfing_bearish,0.0
engulfing_bullish,0.0
inside_bar,0.0
long_lower_wick,0.0
